responseid;submitdate;age;gender;nationality;familiar_curriculum;familiar_statutes;info_access_online;interest_classes;onboarding;onboarding_free_text;ed_agree_YN;mentor_YN;registrars_office;deans_office;docschool;phd_office;international_office;welcome_center;phd_union;staff_development;ft_house;service_non_above;SUPERVISOR_safe1;SUPERVISOR_safe2;SUPERVISOR_safe3;SUPERVISOR_safe4;SUPERVISOR_safe5;SUPERVISOR_commit1;SUPERVISOR_commit2;SUPERVISOR_commit3;SUPERVISOR_commit4;SUPERVISOR_reflect1;SUPERVISOR_reflect2;SUPERVISOR_reflect3;SUPERVISOR_model1;SUPERVISOR_model2;SUPERVISOR_model3;SUPERVISOR_feedback1;SUPERVISOR_feedback2;dual_supervision;supervision_free_text;nonrelevant_projects;external_collab;encourage_collab;TEAM_collab1;TEAM_collab2;TEAM_collab3;TEAM_comp1;TEAM_comp2;TEAM_comp3;INTEGRATE_group;INTEGRATE_institute;INTEGRATE_docschool;INTEGRATE_phd;INTEGRATE_uni;teaching_hours;lectures_YN;hours_contract;working_hours;CIRCUM_carechild;CIRCUM_careother;CIRCUM_health;CIRCUM_financial;CIRCUM_social;CIRCUM_life;CIRCUM_none;CIRCUM_notsay;CIRCUM_free_text;DEPRESS_1;DEPRESS_2;DEPRESS_3;DEPRESS_4;DEPRESS_5;DEPRESS_6;DEPRESS_7;ANXIETY_1;ANXIETY_2;ANXIETY_3;ANXIETY_4;ANXIETY_5;ANXIETY_6;ANXIETY_7;STRESS_1;STRESS_2;STRESS_3;STRESS_4;STRESS_5;STRESS_6;STRESS_7;harass_exp_YN;harass_nationality;harass_gender;harass_race;harass_age;harass_religion;harass_height;harass_weight;harass_physicalother;harass_sexualorient;harass_socoec;harass_disability;harass_notsay;harass_witness_YN;jobloss_threat;international_pressure;enrol;graduate;docschool_stud;employ_status;employ_status_other;free_text_end;time_spent;nationality_new
72;2024-12-18 02:05:06;24;Not say;Germany;5;5;3;3;1;Lorem ipsum.;No unaware graduation;No conflict supervisor;Yes;Yes;No;No;No;No;Yes;Yes;No;Yes;0;2;0;3;5;4;5;1;3;2;0;4;0;3;5;2;0;Equal;Lorem ipsum.;2;1;0;2;5;0;2;5;5;1;0;1;0;3;17;No;31-40;44;No;No;No;No;No;No;Yes;No;Lorem ipsum.;0;1;2;0;2;2;2;2;1;1;1;2;3;3;1;0;0;2;1;3;2;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;;2018-07-27 02:08:25;2025-06-22 00:01:48;Chemical and Process Engineering;UnivAss;;Lorem ipsum.;542;Germany
73;2024-12-05 06:05:02;27;Man;Germany;2;4;1;1;0;Lorem ipsum.;No unaware graduation;No need;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;4;0;0;4;4;0;1;0;4;2;4;5;1;0;0;4;4;Unofficial;Lorem ipsum.;1;4;4;3;5;3;4;1;0;3;3;4;1;5;0;Yes;31-40;41;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Lorem ipsum.;0;2;1;3;1;2;2;1;0;0;1;1;0;2;0;0;0;3;3;2;3;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;;2018-09-15 04:04:05;2026-05-01 19:56:00;Mechanical Engineering;Second job;;Lorem ipsum.;1186;Germany
74;2024-12-12 14:54:55;35;Not say;International;0;5;5;3;2;Lorem ipsum.;No year one;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;2;1;4;4;0;3;1;5;1;3;1;3;2;4;1;3;4;Official;Lorem ipsum.;5;2;2;3;3;1;5;4;3;2;1;0;2;2;28;No;No employee;40;Yes;No;No;No;Yes;No;No;Yes;Lorem ipsum.;1;1;0;3;3;3;2;3;1;1;2;1;3;0;0;1;2;0;0;3;3;No;No;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;2018-07-11 23:45:53;2029-04-26 09:23:30;Civil Engineering Sciences;UnivAss;;Lorem ipsum.;1134;International
75;2024-11-10 05:11:53;21;Not say;Austria;5;2;3;2;5;Lorem ipsum.;Yes more than one year;Yes;No;No;No;No;Yes;No;No;Yes;Yes;No;3;4;5;2;4;0;5;1;2;1;5;5;0;0;4;5;4;Official;Lorem ipsum.;5;1;4;2;1;1;2;3;2;3;5;2;4;2;23;No;31-40;24;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Lorem ipsum.;0;2;2;1;1;0;2;3;3;2;1;1;3;0;2;2;0;3;1;0;3;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;;2018-10-29 14:38:26;2027-04-23 10:02:21;Molecular Biosciences and Biotechnology;UnivAss;;Lorem ipsum.;1807;Austria
76;2024-12-18 02:29:07;21;Not say;International;4;2;2;4;1;Lorem ipsum.;No unaware existence;No unaware possibility;No;No;No;Yes;No;Yes;No;No;No;No;5;4;5;3;4;0;4;1;2;1;3;1;5;3;0;2;1;Official;Lorem ipsum.;1;5;1;3;0;2;5;0;1;4;1;0;3;1;10;No;<20;9;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Lorem ipsum.;3;1;0;0;1;2;2;1;3;3;1;0;1;3;0;1;3;1;0;0;0;Yes;Yes;No;Yes;Yes;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;2022-12-26 21:07:44;2025-04-24 11:23:39;Geosciences;ProjectAss TU;;Lorem ipsum.;589;International
77;2024-11-03 12:13:39;37;Man;International;3;2;2;4;0;Lorem ipsum.;Yes more than one year;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;5;0;0;4;4;1;0;3;5;1;3;0;2;3;5;0;3;Equal;Lorem ipsum.;2;5;0;4;0;3;5;1;4;2;1;0;0;0;2;No;<20;33;No;Yes;Yes;No;No;Yes;Yes;No;;1;2;0;3;1;3;0;3;3;1;3;1;1;2;1;1;3;0;0;0;3;Yes;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;2022-06-10 13:37:50;2024-12-26 00:51:25;Molecular Biosciences and Biotechnology;Not say;;Lorem ipsum.;1121;International
78;2024-11-13 19:38:01;23;Woman;Germany;1;5;5;2;3;Lorem ipsum.;No year one;No unaware definition;No;Yes;No;No;Yes;Yes;Yes;Yes;No;No;5;5;1;3;2;0;2;4;5;4;2;4;5;4;3;3;0;Equal;Lorem ipsum.;0;1;3;5;3;3;5;1;4;1;1;1;4;1;6;Yes;No employee;11;Yes;No;Yes;No;Yes;Yes;No;No;Lorem ipsum.;1;1;3;0;3;3;1;0;1;2;1;1;3;3;2;1;0;0;0;1;0;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;;2020-05-09 13:19:49;2029-01-02 03:59:02;Chemical and Process Engineering;Personal funds;;Lorem ipsum.;1552;Germany
79;2024-12-04 10:52:02;20;Man;Austria;5;1;1;5;0;Lorem ipsum.;No unaware graduation;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;2;4;0;0;5;2;4;0;0;0;3;0;3;1;5;0;2;Equal;Lorem ipsum.;5;0;3;0;3;3;0;4;1;0;0;2;5;2;4;Yes;<20;40;No;No;No;Yes;Yes;Yes;Yes;No;Lorem ipsum.;0;0;3;3;3;2;0;0;3;2;3;1;2;1;0;1;3;2;0;2;0;No;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;;2021-08-17 12:58:49;2028-02-10 04:31:23;Mechanical Engineering;ProjectAss Center;;Lorem ipsum.;1521;Austria
80;2024-11-27 21:49:17;39;Woman;Germany;3;2;5;3;4;Lorem ipsum.;Yes more than one year;No unaware possibility;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;4;4;0;5;1;1;3;4;0;3;5;0;2;5;4;4;5;Unofficial;Lorem ipsum.;3;5;0;1;2;2;1;3;2;5;1;2;1;2;7;No;31-40;34;Yes;No;No;No;No;Yes;No;No;Lorem ipsum.;3;0;0;0;3;2;3;0;0;2;0;0;3;0;1;3;2;2;2;0;1;No;Yes;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;2020-06-16 15:24:22;2029-05-29 01:35:34;Information and Communications Engineering;Second job;;Lorem ipsum.;1070;Germany
81;2024-12-09 17:29:07;26;Not say;Germany;3;4;2;1;5;Lorem ipsum.;No unaware existence;No conflict supervisor;No;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;1;5;4;1;5;1;3;5;5;3;5;4;1;2;4;1;2;Official;Lorem ipsum.;5;2;5;2;1;3;1;3;2;4;3;5;3;1;21;No;<20;30;Yes;Yes;No;No;No;Yes;Yes;Yes;Lorem ipsum.;2;3;3;2;3;1;1;3;1;0;2;2;3;2;0;1;2;0;2;1;2;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No;;2022-05-02 17:32:14;2024-04-02 20:09:58;Molecular Biosciences and Biotechnology;Other;Lorem ipsum.;Lorem ipsum.;566;Germany
82;2024-11-27 21:46:55;27;Other;Austria;3;1;0;1;2;Lorem ipsum.;No year one;No unaware definition;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;3;2;4;0;4;1;2;1;0;5;4;5;3;3;3;4;3;Unofficial;Lorem ipsum.;4;5;1;1;1;3;5;1;5;5;1;1;0;4;12;No;31-40;39;No;No;Yes;No;No;No;No;Yes;;2;3;3;1;2;3;0;2;3;3;3;0;3;0;3;2;2;2;0;3;3;No;No;Yes;No;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;;2019-08-25 11:32:35;2026-05-29 03:03:39;Architecture;Personal funds;;Lorem ipsum.;1821;Austria
83;2024-12-19 17:21:22;39;Woman;International;3;0;2;4;2;Lorem ipsum.;Yes more than one year;No unaware possibility;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;3;5;3;4;3;1;5;3;4;3;5;2;2;1;0;4;1;Equal;Lorem ipsum.;1;5;4;5;0;2;0;5;0;0;0;1;1;1;13;No;21-30;41;Yes;No;Yes;No;No;No;Yes;No;Lorem ipsum.;2;2;2;1;0;0;1;2;1;0;3;1;1;0;2;0;2;3;1;1;0;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;2021-05-09 16:13:54;2026-04-17 08:18:20;Mechanical Engineering;Not say;;Lorem ipsum.;592;International
84;2024-12-11 20:51:25;36;Not say;Germany;1;2;5;5;1;Lorem ipsum.;No unaware existence;No conflict supervisor;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;3;4;4;3;2;4;4;3;1;5;1;0;2;3;3;1;3;Equal;Lorem ipsum.;5;4;5;3;0;0;3;4;5;2;1;4;5;2;20;Yes;21-30;41;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Lorem ipsum.;2;1;3;3;0;0;3;3;2;0;0;1;1;0;0;2;3;0;1;1;2;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;;2021-03-26 11:24:47;2029-02-28 04:33:42;Geosciences;Personal funds;;Lorem ipsum.;1550;Germany
85;2024-11-25 17:10:20;20;Man;Germany;3;2;1;2;3;Lorem ipsum.;Yes more than one year;No unaware definition;Yes;No;No;No;Yes;No;No;Yes;No;No;0;2;2;0;2;0;4;1;2;1;0;0;3;2;3;5;3;Official;Lorem ipsum.;5;4;0;0;3;4;1;4;0;3;0;5;5;2;25;No;<20;9;Yes;No;No;Yes;Yes;No;No;No;;3;3;1;3;2;3;3;1;1;0;2;2;0;1;2;0;3;3;2;1;3;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;;2023-09-25 07:59:35;2029-09-20 06:05:53;Biomedical Engineering;Personal funds;;Lorem ipsum.;1129;Germany
86;2024-10-30 14:11:54;21;Woman;International;0;2;2;4;3;Lorem ipsum.;No unaware existence;No need;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;4;5;2;2;1;1;0;5;3;5;4;5;3;0;1;2;2;Unofficial;Lorem ipsum.;5;3;0;3;5;5;3;3;0;0;0;4;3;5;26;No;31-40;9;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Lorem ipsum.;2;2;3;0;3;0;2;2;3;2;2;0;1;3;2;1;1;0;0;1;0;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;2023-06-21 13:55:02;2026-11-04 05:08:06;Architecture;ProjectAss TU;;Lorem ipsum.;1445;International
87;2024-12-16 22:11:13;33;Man;Austria;4;0;3;4;1;Lorem ipsum.;Yes more than one year;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;1;2;1;2;3;2;2;5;3;0;1;1;0;1;2;3;4;Equal;Lorem ipsum.;4;4;2;5;3;1;0;0;2;4;4;4;0;2;13;No;31-40;33;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Lorem ipsum.;1;1;2;2;0;2;0;2;2;0;1;3;2;0;2;0;1;1;2;2;0;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;No;;2019-09-09 05:01:54;2028-06-19 17:29:54;Physics;Second job;;Lorem ipsum.;1364;Austria
88;2024-11-28 07:05:09;29;Other;Germany;1;4;5;2;0;Lorem ipsum.;No year one;No need;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;5;3;0;3;4;0;2;0;0;2;4;4;5;4;2;3;4;Equal;Lorem ipsum.;1;3;1;1;4;5;0;5;4;4;4;2;0;1;9;No;No employee;4;Yes;No;Yes;Yes;No;No;No;Yes;;2;1;0;2;3;0;3;3;3;3;0;0;0;2;3;0;2;1;3;0;1;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;2022-04-04 20:37:42;2025-06-23 11:27:08;Chemical and Process Engineering;Not say;;Lorem ipsum.;945;Germany
89;2024-11-08 22:57:25;33;Man;Germany;3;4;5;5;1;Lorem ipsum.;Yes more than one year;No conflict supervisor;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;1;2;4;3;3;2;5;1;0;3;2;0;2;4;1;4;1;Unofficial;Lorem ipsum.;5;2;4;1;5;2;0;3;4;4;3;2;2;4;28;No;<20;39;No;Yes;Yes;No;No;No;Yes;Yes;Lorem ipsum.;2;1;0;2;1;2;1;3;1;3;2;2;2;2;1;3;3;1;3;0;3;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;;2018-03-22 20:38:39;2027-01-03 17:59:21;Chemical and Process Engineering;Other;Lorem ipsum.;Lorem ipsum.;568;Germany
90;2024-12-15 13:44:05;28;Woman;International;5;0;1;3;3;Lorem ipsum.;No year one;No conflict supervisor;Yes;Yes;No;Yes;Yes;No;No;No;No;No;5;5;1;2;1;4;1;4;5;1;3;4;5;4;0;4;4;Official;Lorem ipsum.;1;4;5;1;5;3;3;5;1;0;4;2;5;1;2;No;No employee;50;Yes;No;Yes;No;No;Yes;No;Yes;;2;0;2;0;3;3;1;2;1;3;2;3;0;0;1;1;1;1;3;0;2;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;Yes;No;2021-06-22 10:53:18;2029-05-21 23:54:15;Molecular Biosciences and Biotechnology;UnivAss;;Lorem ipsum.;1357;International
91;2024-11-25 05:17:06;25;Other;Austria;5;2;2;3;0;Lorem ipsum.;No year one;No conflict supervisor;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;4;5;2;2;2;5;4;4;4;4;4;1;4;2;3;1;3;Equal;Lorem ipsum.;5;0;3;1;5;5;5;2;2;3;1;0;4;3;23;Yes;31-40;33;Yes;Yes;Yes;No;Yes;No;Yes;No;;2;0;1;2;3;0;2;2;3;0;0;1;2;2;0;1;0;3;3;0;3;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;;2018-04-16 22:44:52;2026-08-15 02:06:00;Biomedical Engineering;ProjectAss TU;;Lorem ipsum.;1521;Austria
92;2024-10-29 22:00:24;32;Other;Germany;0;3;1;2;1;Lorem ipsum.;No unaware existence;No need;No;Yes;No;No;No;No;No;No;No;Yes;0;1;1;1;4;2;5;2;5;0;4;5;4;1;1;1;3;Equal;Lorem ipsum.;5;4;4;5;4;2;1;2;1;1;0;0;3;0;23;No;No employee;54;No;Yes;Yes;Yes;No;Yes;No;No;;3;1;3;2;1;3;1;2;1;2;1;2;1;3;1;0;0;0;0;2;2;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;;2021-09-02 07:14:30;2029-05-28 01:26:08;Chemical and Process Engineering;Scholarship;;Lorem ipsum.;1064;Germany
93;2024-11-22 18:03:31;38;Woman;International;0;3;1;2;4;Lorem ipsum.;Yes year one;No unaware possibility;No;No;No;Yes;No;Yes;Yes;No;No;Yes;4;5;3;0;4;3;5;3;4;5;0;3;1;4;0;5;1;Equal;Lorem ipsum.;4;3;1;1;3;3;5;5;2;0;5;0;1;5;3;No;21-30;58;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Lorem ipsum.;3;1;2;3;2;0;2;3;2;1;1;3;3;3;0;0;0;3;2;2;2;Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;2019-12-06 20:14:41;2028-07-07 22:49:50;Mathematics and Scientific Computing;ProjectAss Center;;Lorem ipsum.;901;International
94;2024-12-12 20:53:09;35;Woman;International;0;1;5;4;2;Lorem ipsum.;No year one;No need;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;1;1;1;3;2;2;2;5;3;3;1;3;1;3;2;1;0;Unofficial;Lorem ipsum.;5;5;2;4;5;0;1;2;2;0;0;1;5;3;2;Yes;No employee;50;Yes;Yes;Yes;No;Yes;Yes;No;No;Lorem ipsum.;3;0;0;0;3;1;3;2;1;1;3;1;3;1;2;0;3;1;3;1;1;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;2021-03-17 03:37:27;2029-11-14 11:12:09;Not say;UnivAss;;Lorem ipsum.;1405;International
95;2024-11-02 07:46:37;27;Not say;Austria;5;0;4;2;4;Lorem ipsum.;Yes more than one year;No unaware possibility;No;No;Yes;No;No;Yes;No;Yes;Yes;No;0;3;5;4;3;4;1;0;3;0;5;3;5;0;0;1;5;Equal;Lorem ipsum.;5;2;4;1;0;1;4;2;2;0;4;5;3;2;14;Yes;<20;37;Yes;Yes;Yes;No;No;No;Yes;No;Lorem ipsum.;3;1;3;0;3;1;0;1;2;2;3;0;0;3;0;3;2;3;2;2;1;No;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;;2023-09-10 15:47:38;2026-01-06 13:55:24;Molecular Biosciences and Biotechnology;UnivAss;;Lorem ipsum.;1825;Austria
96;2024-10-29 12:57:31;28;Other;Germany;5;4;2;5;0;Lorem ipsum.;No unaware existence;No unaware possibility;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;0;4;1;2;2;5;5;3;3;2;1;5;4;2;0;4;4;Official;Lorem ipsum.;3;5;1;4;2;2;0;0;2;3;2;3;0;2;10;Yes;No employee;47;No;Yes;No;No;No;Yes;No;Yes;;2;0;2;2;1;2;0;0;3;3;0;3;3;2;0;0;3;2;0;1;3;Yes;Yes;No;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;Yes;;2020-12-26 08:47:41;2027-10-02 06:49:21;Architecture;UnivAss;;Lorem ipsum.;1250;Germany
97;2024-12-08 22:17:25;30;Man;Austria;2;4;2;0;1;Lorem ipsum.;Yes more than one year;No conflict supervisor;No;No;No;Yes;No;Yes;No;No;Yes;Yes;5;0;1;0;1;3;2;3;0;3;1;5;4;0;1;1;0;Official;Lorem ipsum.;5;4;2;2;0;1;1;3;1;4;0;0;4;5;13;No;<20;9;No;Yes;No;No;Yes;No;No;No;;0;2;3;1;2;3;3;0;0;1;0;1;0;3;0;3;1;3;0;2;1;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;;2019-08-26 12:19:25;2028-03-05 08:03:38;Geosciences;ProjectAss Center;;Lorem ipsum.;910;Austria
98;2024-12-05 12:01:44;31;Man;Germany;4;0;4;4;2;Lorem ipsum.;Yes year one;No unaware definition;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;1;5;5;5;4;5;0;1;4;5;0;0;0;4;3;5;4;Official;Lorem ipsum.;5;3;5;2;1;2;3;4;4;0;2;1;1;4;3;Yes;No employee;60;Yes;No;Yes;No;No;No;No;Yes;Lorem ipsum.;0;0;2;0;0;2;3;3;1;0;2;3;2;0;2;3;0;3;3;0;3;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;;2021-07-23 01:03:12;2028-02-27 03:09:48;Molecular Biosciences and Biotechnology;UnivAss;;Lorem ipsum.;806;Germany
99;2024-12-04 06:29:35;26;Other;International;2;5;0;2;0;Lorem ipsum.;No unaware graduation;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes;4;5;4;0;2;5;3;2;0;4;4;5;1;0;3;4;0;Official;Lorem ipsum.;4;0;2;5;4;5;3;2;5;2;1;2;5;0;1;Yes;No employee;35;No;Yes;No;No;No;Yes;Yes;Yes;;1;2;2;1;1;0;1;1;3;3;3;2;1;3;3;3;2;2;3;2;2;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;2022-08-23 15:01:25;2027-05-25 14:56:18;Physics;Not say;;Lorem ipsum.;1137;International
100;2024-11-18 10:41:00;27;Not say;International;0;0;4;2;4;Lorem ipsum.;No unaware existence;No unaware possibility;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;3;2;0;0;1;3;2;4;2;2;4;3;4;0;3;2;5;Official;Lorem ipsum.;5;2;5;3;5;1;1;0;1;1;5;2;4;1;14;Yes;21-30;53;Yes;Yes;Yes;No;Yes;Yes;No;No;Lorem ipsum.;3;3;2;2;2;0;0;1;1;3;2;3;1;0;1;2;3;0;1;1;3;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes;2021-08-10 23:46:50;2026-06-15 08:49:10;Chemical and Process Engineering;UnivAss;;Lorem ipsum.;1433;International
